Орлов Кондрат Елисеевич;Тихвин;бул. Выгонный, д. 3 к. 851;Юг-Авто;Тренд-вотчер;8 213 565 2802;maksimiljan28@mail.ru;1999-04-16;96651
Ефрем Матвеевич Фокин;Липецк;пр. Иркутский, д. 476;Северсталь;Мясник;+7 734 946 4514;galkintihon@mail.ru;1951-01-22;34345
Нонна Романовна Васильева;Териберка;ул. Иркутская, д. 56 к. 205;Иркутская нефтяная компания;Гинеколог;8 351 504 3247;emil2006@yahoo.com;1974-08-21;34979
Дмитрий Арсенович Горшков;Владикавказ;бул. Ключевой, д. 96 к. 40;Нефтьмагистраль;Безработный;8 (119) 291-11-01;nosovelizar@rambler.ru;1944-05-20;175545
Шилов Сильвестр Вячеславович;Нижний Новгород;бул. Энергетический, д. 607;Группа ЭПМ;Фуражир;8 498 482 7275;denis93@hotmail.com;1946-06-25;80211
Капитон Арсеньевич Котов;Нижневартовск;бул. Фрунзе, д. 7/8 стр. 7/5;Фортум (Fortum);Балетмейстер;+7 193 854 1245;seliverstovilja@yahoo.com;1971-01-20;156687
Алина Анатольевна Кулагина;Сальск;алл. Кедровая, д. 68;Зерно-трейд;Клинер;+7 057 304 0492;haritonovapraskovja@yandex.ru;1996-05-22;40209
Орест Якубович Гаврилов;Можайск;пер. Леваневского, д. 4 стр. 2;Кубанская нефтегазовая компания;Кок;8 (431) 106-85-23;matve_1972@mail.ru;1968-05-08;122922
Евдокия Игоревна Архипова;Ирбит;алл. Водопроводная, д. 1 к. 764;Тетра Пак (Tetra Pak);Манекенщица;+7 (155) 336-61-42;emilija2021@mail.ru;1985-04-11;41126
Баранов Евдоким Изотович;Магас;пр. Краснодарский, д. 47;Т2 РТК Холдинг;Аналитик;+7 (006) 919-0577;konon1970@yahoo.com;1940-08-07;170933
Гущина Лукия Кузьминична;Кяхта;пер. Невского, д. 2 к. 8/1;Ситибанк;Повар;+73516469861;antonovguri@gmail.com;1939-08-17;121561
Родионов Адриан Ильясович;Новосибирск;алл. Светлая, д. 9/3;Славнефть;Плиточник;8 356 910 1554;leon_2004@yandex.ru;1946-08-02;145447
Гремислав Валерианович Фомин;Осташков;бул. Алтайский, д. 645 к. 114;Гознак;Офтальмолог;8 903 193 8367;braginagalina@mail.ru;1998-05-28;61640
Феврония Павловна Носова;Абакан;пр. Волжский, д. 821 стр. 709;Новикомбанк;Ихтиолог;+7 798 071 50 16;tretjakovaevgenija@gmail.com;1992-11-24;136059
Сидор Федосеевич Дмитриев;Аргаяш;пр. Троицкий, д. 98;ГК Титан;Скульптор;+7 825 735 84 12;sobolevamvrosi@mail.ru;1936-06-12;160702
Лидия Тарасовна Гришина;Мценск;бул. Краснодарский, д. 8/6 к. 759;Энел Россия;Педагог;8 (525) 138-4486;artem15@mail.ru;1993-09-23;116634
Жукова Синклитикия Валериевна;Якутск;ул. 60 лет СССР, д. 553 к. 27;АльфаСтрахование;Киномеханик;+7 601 693 64 33;trofimovamarina@yandex.ru;1970-01-22;157966
Пономарев Амвросий Иосифович;Златоуст;ул. Ленинская, д. 6;Кордиант;Модель;+7 245 049 8980;lev2020@mail.ru;2001-02-14;136250
Галина Вячеславовна Боброва;Джейрах;бул. Гайдара, д. 67 к. 7;САП СНГ (SAP);Токарь-карусельщик;88549716587;martin_43@yandex.ru;1998-03-04;144953
Юлий Ярославович Комиссаров;Саратов;алл. Л.Толстого, д. 38 стр. 12;Компания Газ-Альянс;Инженер-технолог;+7 594 971 14 99;medvedevgremislav@yahoo.com;1939-11-18;89122
Олимпиада Валериевна Артемьева;Калевала;ш. Больничное, д. 7/8;Мазда Мотор Рус (Mazda);Грейдерист;80571879729;baranovonufri@rambler.ru;1936-04-12;83080
тов. Зимина Нина Андреевна;Архыз;алл. Мелиоративная, д. 6/1 к. 6;ГК ЕКС;Гинеколог;+7 (167) 376-1029;nazar2006@hotmail.com;1962-09-14;29799
Куприян Ефимьевич Харитонов;Псебай;бул. Озерный, д. 278 стр. 8/5;Завод имени Дегтярева;Проректор;+7 (330) 365-5993;kmjasnikova@gmail.com;1986-08-03;119341
Савватий Харлампьевич Кузьмин;Подольск;пр. Никитина, д. 8/1 к. 4/7;Группа Магнезит;Маклер биржевой;8 913 363 70 49;nazarovspartak@yahoo.com;1949-06-19;178239
Елена Тимофеевна Афанасьева;Баргузин;ул. Ленина, д. 4/4 к. 65;Такеда Фармасьютикалс (Takeda Pharmaceutical);Фрезеровщик;+7 083 088 19 30;fedor_09@yahoo.com;1942-03-20;143123
Агата Владимировна Дмитриева;Джубга;ш. Кольцевое, д. 4 стр. 7/9;СК Согласие;Прокурор;8 365 362 6256;adrian61@hotmail.com;1982-03-16;35838
Аникей Тихонович Бобров;Андреаполь;ул. Мельничная, д. 962 стр. 5;ОХК Уралхим;Дилер;+7 (605) 439-91-89;teterinaviktorija@mail.ru;1978-11-26;190319
Рогов Эраст Анисимович;Сибай;ул. Крупской, д. 149 к. 8/6;Металлоторг;Продавец;8 (703) 578-4175;kalininkuprijan@rambler.ru;1964-01-28;72186
Горбачев Изот Игнатович;Надым;ул. Пирогова, д. 240 к. 983;Сибирская горно-металлургическая компания;Расточник;+7 (903) 363-46-08;davidkuzmin@gmail.com;2003-06-03;47065
Анисимов Ладимир Елизарович;Кизилюрт;наб. Поселковая, д. 6/6 к. 83;Росморпорт;Доула;+77694981588;zosima_2005@rambler.ru;1971-09-04;86080
Блинова Любовь Эдуардовна;Нарткала;ул. Красных Партизан, д. 8;ГСЛ;Заточник;+7 (169) 554-79-94;vladislav1995@yandex.ru;1970-08-11;76632
Филатова Варвара Романовна;Каменск-Уральский;алл. Трудовая, д. 37;Р-Фарм;Пограничник;+7 (998) 810-5779;timofeevaanastasija@rambler.ru;1979-11-02;186567
Панфилов Бронислав Васильевич;Байкальск;ул. Целинная, д. 404;171 Меридиан;Мастер педикюра;8 (925) 499-50-66;filippovaklavdija@hotmail.com;1945-07-10;162206
Крылов Сильвестр Викторович;Внуково (метеост.);пр. Ленский, д. 9/5;ГМК Сплав;Финансист;8 (075) 673-0069;sofija_59@yahoo.com;1962-05-15;109115
Горбунов Василий Валерьянович;Гусь-Хрустальный;наб. Добролюбова, д. 1 к. 2/5;Московский аэропорт Домодедово;Монтажник;+7 (221) 746-8928;irakli_34@gmail.com;1993-06-05;50915
Кудряшова Варвара Юльевна;Медногорск;пр. Балтийский, д. 2/5 к. 31;Мосинжпроект;Физик;+7 075 893 1957;shashkovanadezhda@hotmail.com;1970-10-03;179222
Алевтина Валентиновна Панфилова;Буденновск;пр. Чкалова, д. 50 стр. 6/4;Фортум (Fortum);Семейный врач;81528313707;shashkovaelena@mail.ru;1957-11-06;32174
